nombre;ciudad;conferencia;division
76ers;Philadelphia;East;Atlantic
Bobcats;Charlotte;East;SouthEast
Bucks;Milwaukee;East;Central
Bulls;Chicago;East;Central
Cavaliers;Cleveland;East;Central
Celtics;Boston;East;Atlantic
Clippers;Los Angeles;West;Pacific
Grizzlies;Memphis;West;SouthWest
Hawks;Atlanta;East;SouthEast
Heat;Miami;East;SouthEast
Hornets;New Orleans;West;SouthWest
Jazz;Utah;West;NorthWest
Kings;Sacramento;West;Pacific
Knicks;New York;East;Atlantic
Lakers;Los Angeles;West;Pacific
Magic;Orlando;East;SouthEast
Mavericks;Dallas;West;SouthWest
Nets;New Jersey;East;Atlantic
Nuggets;Denver;West;NorthWest
Pacers;Indiana;East;Central
Pistons;Detroit;East;Central
Raptors;Toronto;East;Atlantic
Rockets;Houston;West;SouthWest
Spurs;San Antonio;West;SouthWest
Suns;Phoenix;West;Pacific
Supersonics;Seattle;West;NorthWest
Timberwolves;Minnesota;West;NorthWest
Trail Blazers;Portland;West;NorthWest
Warriors;Golden State;West;Pacific
Wizards;Washington;East;SouthEast
